FID,REPORTDATE,BLOCKADD,OFFENSE
0,2009-05-26 00:00:00,900 Block Pearl St,Vandalism
1,2011-09-14 00:00:00,1400 Block Canyon Blvd,Assault
2,2008-02-29 00:00:00,3100 Block Airport Rd,Assault
3,2012-03-09 00:00:00,2800 Block 7th St,Burglary
4,2009-09-09 00:00:00,2600 Block Canyon Bv,Burglary
5,2017-12-04 00:00:00,800 Block 20th St,Theft From Vehicle
6,2009-08-13 00:00:00,2900 Block Dartmouth Ave,Vandalism
7,2010-06-17 00:00:00,1300 Block Spruce St,Vandalism
8,2009-03-16 00:00:00,3500 Block Nottingham Ct,Vandalism
9,2009-11-16 00:00:00,1100 Block 10th St,Burglary
10,2010-03-31 00:00:00,5500 Block N 51st St,Trespassing
11,2009-07-20 00:00:00,5035 Block Chaparral Ct,Theft From Vehicle
12,2008-11-08 00:00:00,3700 Block 16th St,Theft From Vehicle
13,2009-09-24 00:00:00,Baseline Rd & Broadway,Vandalism
14,2008-03-14 00:00:00,600 Block Arapahoe Ave,Trespassing
15,2009-02-28 00:00:00,1100 Block Lincoln Pl,Burglary
16,2010-07-06 00:00:00,4400 Block Laguna Pl,Vandalism
17,2017-03-16 00:00:00,1000 Block 10th St,Motorcycle Theft
18,2008-03-07 00:00:00,2500 Block Panorama Av,Theft From Vehicle
19,2008-04-03 00:00:00,2800 Block Shadow Creek Dr,Auto Theft
20,2009-01-14 00:00:00,2700 Block Juniper Ave,Vandalism
21,2008-11-07 00:00:00,2700 Block Arapahoe Ave,Incident
22,2011-10-21 00:00:00,900 Block 12th St,Vandalism
23,2008-05-09 00:00:00,1900 Block 11th St,Vandalism
24,2010-04-30 00:00:00,1800 Block Broadway,Theft From Vehicle
25,2008-05-02 00:00:00,1700 Block 28th St,Vandalism
26,2012-01-06 00:00:00,1000 Block Adams Cir,Theft From Vehicle
27,2008-08-23 00:00:00,900 Block 14th St,Vandalism
28,2008-07-21 00:00:00,14th St & Euclid Ave,Vandalism
29,2008-06-25 00:00:00,1100 Block Portland Pl,Vandalism
30,2009-09-25 00:00:00,2400 Block Bluff St,Burglary
31,2008-03-25 00:00:00,3300 Block Moorhead Ave,Burglary
32,2009-10-05 00:00:00,1500 Block Eisenhower Dr,Theft From Vehicle
33,2010-07-08 00:00:00,2800 Block Cordry Ct,Vandalism
34,2010-07-11 00:00:00,600 Block Highland Ave,Burglary
35,2010-09-20 00:00:00,10th St & Pleasant St,Vandalism
36,2010-09-20 00:00:00,3900 Block Broadway,Vandalism
37,2010-09-11 00:00:00,3900 Block Broadway,Robbery
38,2010-05-05 00:00:00,2500 Block Canyon Blvd,Theft From Vehicle
39,2008-01-11 00:00:00,1100 Block Grandview Ave,Burglary
40,2010-09-22 00:00:00,2900 Block Shadow Creek Dr,Vandalism
41,2012-01-06 00:00:00,1000 Block Adams Cr,Auto Theft
42,2011-11-12 00:00:00,1000 Block Pleasant St,Vandalism
43,2008-10-22 00:00:00,1500 Block Pearl St,Trespassing
44,2008-05-27 00:00:00,300 Block Ponca Pl,Burglary
45,2008-04-22 00:00:00,Crime occurred at an unknown location,Incident
46,2009-10-24 00:00:00,1000 Block Marine St,Vandalism
47,2011-10-21 00:00:00,1600 Block Arapahoe Ave,Indecent Exposure
48,2009-10-30 00:00:00,2500 Block 49th St,Trespassing
49,2008-06-19 00:00:00,2100 Block Mesa Dr,Theft From Vehicle
50,2009-09-11 00:00:00,700 Block University Ave,Vandalism
51,2010-06-27 00:00:00,3500 Block Clover Cr,Theft From Vehicle
52,2008-06-09 00:00:00,600 Block S 43rd St,Theft From Vehicle
53,2009-03-09 00:00:00,3100 Block 11th St,Vandalism
54,2009-05-06 00:00:00,2700 Block Mapleton Ave,Theft From Vehicle
55,2011-01-11 00:00:00,3900 Block Orchard Ct,Burglary
56,2009-03-05 00:00:00,3000 Block Corona Tr,Theft From Vehicle
57,2008-02-25 00:00:00,1500 Block 20th St,Burglary
58,2009-11-01 00:00:00,1200 Block College Ave,Burglary
59,2009-08-02 00:00:00,11th St & Spruce St,Vandalism
60,2009-11-09 00:00:00,800 Block 13th St,Vandalism
61,2008-09-13 00:00:00,1400 Block Walnut St,Theft From Vehicle
62,2008-12-03 00:00:00,11th St & Marine St,Vandalism
63,2008-07-16 00:00:00,200 Block Arapahoe Ave,Trespassing
64,2012-12-30 00:00:00,800 Block 17th St,Burglary
65,2010-02-26 00:00:00,1100 Block 10th St,Vandalism
66,2009-05-04 00:00:00,800 Block Racquet Ln,Vandalism
67,2008-02-11 00:00:00,28th Frontage Rd & E College Ave,Incident
68,2009-02-15 00:00:00,4500 Block 19th St,Vandalism
69,2012-08-05 00:00:00,1100 Block Pleasant St,Burglary
70,2008-11-01 00:00:00,600 Block Dewey Ave,Theft From Vehicle
71,2009-03-12 00:00:00,900 Block Pleasant St,Sex Assault
72,2009-01-12 00:00:00,1100 Block Juniper Ave,Burglary
73,2009-12-18 00:00:00,2500 Block Arapahoe Ave,Vandalism
74,2012-07-28 00:00:00,1300 Block Folsom St,Burglary
75,2009-01-08 00:00:00,6400 Block Gunpark Dr,Vandalism
76,2008-12-02 00:00:00,800 Block Marine St,Burglary
77,2009-07-24 00:00:00,1100 Block Pearl St,Assault
78,2009-05-20 00:00:00,2000 Block Pine St,Burglary
79,2012-01-20 00:00:00,2400 Block 55th St,Auto Theft
80,2010-05-07 00:00:00,1100 Block 35th St,Trespassing
81,2009-12-07 00:00:00,2400 Block 30th St,Auto Theft
82,2009-04-23 00:00:00,600 Block Spruce St,Vandalism
83,2009-11-26 00:00:00,3200 Block Madison Ave,Burglary
84,2009-04-20 00:00:00,1700 Block 14th St,Vandalism
85,2009-07-31 00:00:00,2700 Block 29th St,Vandalism
86,2008-11-24 00:00:00,2000 Block Balsam Dr,Theft From Vehicle
87,2008-09-05 00:00:00,1300 Block Broadway,Incident
88,2008-09-04 00:00:00,12th St & Pennsylvania Ave,Assault
89,2008-07-01 00:00:00,Baseline Rd & Inca Pkwy,Vandalism
90,2008-12-25 00:00:00,500 Block Harvard Ln,Burglary
91,2012-12-21 00:00:00,100 Block S 32nd St,Theft From Vehicle
92,2008-01-03 00:00:00,1700 Block 29th St,Theft From Vehicle
93,2008-10-10 00:00:00,1500 Block Greenbriar Blvd,Vandalism
94,2009-07-09 00:00:00,1100 Block Maxwell Ave,Burglary
95,2012-06-08 00:00:00,1600 Block 30th St,Trespassing
96,2010-02-06 00:00:00,1000 Block Adams Cr,Theft From Vehicle
97,2009-10-13 00:00:00,3300 Block 28th St,Incident
98,2011-10-12 00:00:00,900 Block Broadway,Burglary
99,2009-05-14 00:00:00,1900 Block Canyon Blvd,Vandalism
100,2009-03-31 00:00:00,500 Block S 41st St,Theft From Vehicle
101,2008-07-07 00:00:00,3600 Block Pearl St,Theft From Vehicle
102,2010-05-17 00:00:00,800 Block 17th St,Vandalism
103,2010-05-11 00:00:00,4500 Block 19th St,Vandalism
104,2010-04-28 00:00:00,2800 Block Kalmia Ave,Trespassing
105,2009-07-31 00:00:00,30th St & Glenwood Dr,Assault
106,2010-01-12 00:00:00,1200 Block Pearl St,Vandalism
107,2008-10-13 00:00:00,500 Block Mohawk Dr,Incident
108,2008-05-20 00:00:00,2000 Block Spruce St,Burglary
109,2010-04-10 00:00:00,1300 Block College Ave,Assault
110,2008-04-19 00:00:00,Berkley Ave & Moorhead Ave,Sex Assault
111,2008-12-09 00:00:00,3900 Block Promontory Ct,Burglary
112,2010-12-14 00:00:00,2700 Block Jay Rd,Vandalism
113,2009-12-13 00:00:00,3100 Block 34th St,Burglary
114,2011-08-23 00:00:00,3100 Block Bluff St,Incident
115,2008-11-03 00:00:00,5700 Block Orchard Creek Ln,Burglary
116,2008-12-09 00:00:00,200 Block Pearl St,Incident
117,2009-04-23 00:00:00,5900 Block Longbow Dr,Vandalism
118,2010-12-11 00:00:00,900 Block 16th St,Vandalism
119,2008-04-25 00:00:00,2500 Block Sumac Ave,Burglary
120,2009-09-26 00:00:00,2100 Block 13th St,Trespassing
121,2010-11-14 00:00:00,800 Block 28th St,Incident
122,2009-09-23 00:00:00,900 Block 14th St,Vandalism
123,2012-12-23 00:00:00,2800 Block Baseline Rd,Trespassing
124,2008-02-15 00:00:00,2900 Block Baseline Rd,Trespassing
125,2008-11-24 00:00:00,400 Block Harvard Ln,Vandalism
126,2009-07-30 00:00:00,3900 Block Baseline Rd,Vandalism
127,2009-04-21 00:00:00,4500 Block 19th St,Motorcycle Theft
128,2008-03-11 00:00:00,100 Block Manhatan Dr,Trespassing
129,2011-09-22 00:00:00,Broadway & Mountain Laurel Pl,Indecent Exposure
130,2012-03-16 00:00:00,4800 Block Baseline Rd,Theft From Vehicle
131,2008-02-18 00:00:00,2900 Block Bixby Ave,Vandalism
132,2012-05-17 00:00:00,Broadway & Marine St,Vandalism
133,2010-04-21 00:00:00,900 Block Cascade Ave,Incident
134,2008-06-03 00:00:00,2800 Block Kalmia Ave,Trespassing
135,2008-03-18 00:00:00,600 Block S Broadway,Incident
136,2010-04-27 00:00:00,3500 Block Arthur Ct,Vandalism
137,2008-11-13 00:00:00,900 Block 28th St,Sex Assault
138,2008-01-14 00:00:00,3200 Block Valmont Rd,Auto Theft
139,2011-08-04 00:00:00,1300 Block College Ave,Vandalism
140,2009-06-23 00:00:00,2800 Block 17th St,Burglary
141,2008-07-15 00:00:00,3300 Block St Vincent Pl,Theft From Vehicle
142,2008-09-16 00:00:00,19th St & Pearl St,Indecent Exposure
143,2011-09-26 00:00:00,1100 Block 13th St,Incident
144,2009-10-30 00:00:00,1600 Block Arapahoe Ave,Assault
145,2008-03-29 00:00:00,2000 Block Walnut St,Vandalism
146,2011-06-24 00:00:00,1600 Block Arapahoe Ave,Trespassing
147,2012-01-16 00:00:00,1800 Block 17th St,Theft From Vehicle
148,2010-09-13 00:00:00,3100 Block 28th St,Trespassing
149,2009-04-14 00:00:00,1400 Block Riverside Ave,Vandalism
150,2009-01-23 00:00:00,17th St & Athens St,Vandalism
151,2013-01-13 00:00:00,800 Block 17th St,Incident
152,2009-11-24 00:00:00,3000 Block E Euclid Ave,Burglary
153,2010-03-05 00:00:00,11th St & College Ave,Assault
154,2008-08-21 00:00:00,1200 Block Pleasant St,Vandalism
155,2008-07-01 00:00:00,3100 Block 17th St,Vandalism
156,2010-02-20 00:00:00,4700 Block 6th St,Burglary
157,2010-03-17 00:00:00,800 Block 18th St,Vandalism
158,2011-12-02 00:00:00,2800 Block E Aurora Ave,Burglary
159,2008-01-09 00:00:00,1600 Block Arapahoe Ave,Vandalism
